Time sec,Extension mm,Load kgf,Compressive stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Compressive extension mm,Compressive strain %,Compressive load kgf,Displacement (Strain 1) mm,True strain %,Corrected Position mm,True stress Pa
0,0,-0.03813029,0.0002224793,0,0,0,0,0,0,0,0.03813029,0,0,0,222.4793
0.1,-0.0002989475,0.1566192,-0.0009138281,0,0,0,0,0,0.0002989475,0.001592688,-0.1566192,0,0.0015927,-0.0002989475,-913.8135
0.2,-0.001255579,-0.01020629,5.96E-05,0,0,0,0,0,0.001255579,0.006689289,0.01020629,0,0.006689512,-0.001255579,59.5468
0.3,-0.003467791,-0.316692,0.001847807,0,0,0,0,0,0.003467791,0.01847518,0.316692,0,0.01847689,-0.003467791,1847.466
0.4,-0.00597895,-0.7107052,0.004146761,0,0,0,0,0,0.005978949,0.03185375,0.7107052,0,0.03185883,-0.00597895,4145.44
0.5,-0.007892214,-1.008762,0.005885836,0,0,0,0,0,0.007892214,0.04204696,1.008762,0,0.0420558,-0.007892214,5883.361
0.6,-0.009805478,-1.382121,0.008064283,0,0,0,0,0,0.009805478,0.05224016,1.382121,0,0.05225381,-0.009805478,8060.07
0.7000001,-0.01159916,-1.605634,0.009368414,0,0,0,0,0,0.01159916,0.06179629,1.605634,0,0.06181539,-0.01159916,9362.625
0.8,-0.01339285,-1.976117,0.01153008,0,0,0,0,0,0.01339285,0.07135241,1.976117,0,0.07137788,-0.01339285,11521.85
0.9000001,-0.01512674,-2.224158,0.01297733,0,0,0,0,0,0.01512674,0.08059001,2.224158,0,0.0806225,-0.01512674,12966.87
1,-0.01674106,-2.624124,0.01531101,0,0,0,0,0,0.01674106,0.08919051,2.624124,0,0.08923031,-0.01674106,15297.35
1.1,-0.01829559,-2.85283,0.01664544,0,0,0,0,0,0.01829559,0.0974725,2.85283,0,0.09752003,-0.01829559,16629.22
1.2,-0.01996969,-3.198385,0.01866166,0,0,0,0,0,0.01996969,0.1063915,3.198385,0,0.1064482,-0.01996969,18641.81
1.3,-0.0216438,-3.509305,0.02047579,0,0,0,0,0,0.0216438,0.1153106,3.509305,0,0.1153771,-0.0216438,20452.18
1.4,-0.0233777,-4.047733,0.02361736,0,0,0,0,0,0.02337769,0.1245482,4.047733,0,0.1246258,-0.0233777,23587.95
1.5,-0.02499201,-4.405712,0.02570607,0,0,0,0,0,0.02499201,0.1331487,4.405712,0,0.1332374,-0.02499201,25671.84
1.6,-0.02678569,-5.034743,0.02937628,0,0,0,0,0,0.02678569,0.1427048,5.034743,0,0.1428067,-0.02678569,29334.36
1.7,-0.02834022,-5.510211,0.03215051,0,0,0,0,0,0.02834022,0.1509868,5.510211,0,0.1511009,-0.02834022,32101.96
1.8,-0.03001433,-5.957796,0.03476203,0,0,0,0,0,0.03001433,0.1599059,5.957796,0,0.1600338,-0.03001433,34706.44
1.9,-0.03156885,-6.485677,0.03784207,0,0,0,0,0,0.03156886,0.1681878,6.485677,0,0.1683294,-0.03156885,37778.42
2,-0.03342233,-7.183139,0.04191156,0,0,0,0,0,0.03342233,0.1780625,7.183139,0,0.1782212,-0.03342233,41836.93
2.1,-0.03515623,-7.955905,0.04642043,0,0,0,0,0,0.03515623,0.1873001,7.955905,0,0.1874757,-0.03515623,46333.48
2.2,-0.03689012,-8.738139,0.05098454,0,0,0,0,0,0.03689012,0.1965377,8.738139,0,0.1967311,-0.03689012,50884.34
2.3,-0.03838486,-9.3748,0.05469928,0,0,0,0,0,0.03838486,0.2045011,9.374801,0,0.2047105,-0.03838486,54587.42
2.4,-0.03993939,-10.08736,0.05885688,0,0,0,0,0,0.03993938,0.2127831,10.08736,0,0.2130098,-0.03993939,58731.64
