Time sec,Extension mm,Load kgf,Compressive stress MPa,Cycle Count ,Total Cycle Count ,Repetitions Count ,Marked Data ,PIP Count ,Compressive extension mm,Compressive strain %,Compressive load kgf,Displacement (Strain 1) mm,True strain %,Corrected Position mm,True stress Pa
0,-9.006092,-6606.691,38.54815,0,0,0,0,0,9.006091,47.98131,6606.691,0,65.3567,-9.006092,20100000
0.1,-9.006332,-6606.618,38.54773,0,0,0,0,0,9.006331,47.98259,6606.619,0,65.35916,-9.006332,20100000
0.2,-9.007049,-6609.637,38.56534,0,0,0,0,0,9.00705,47.98641,6609.637,0,65.36652,-9.007049,20100000
0.3,-9.009321,-6631.771,38.69448,0,0,0,0,0,9.009321,47.99852,6631.771,0,65.38979,-9.009321,20100000
0.378,-9.011175,-6657.269,38.84326,0,0,0,0,0,9.011174,48.00839,6657.269,0,65.40878,-9.011175,20200000
0.46,-9.013148,-6682.834,38.99242,0,0,0,0,0,9.013147,48.0189,6682.834,0,65.429,-9.013148,20300000
0.56,-9.01506,-6706.711,39.13174,0,0,0,0,0,9.01506,48.02909,6706.711,0,65.44861,-9.01506,20300000
0.66,-9.016974,-6730.461,39.27031,0,0,0,0,0,9.016974,48.03929,6730.461,0,65.46823,-9.016974,20400000
0.7600001,-9.018888,-6752.996,39.40179,0,0,0,0,0,9.018888,48.04948,6752.996,0,65.48785,-9.018888,20500000
0.86,-9.020382,-6771.791,39.51146,0,0,0,0,0,9.020383,48.05745,6771.791,0,65.50318,-9.020382,20500000
0.9600001,-9.021757,-6786.808,39.59908,0,0,0,0,0,9.021757,48.06477,6786.808,0,65.51728,-9.021757,20600000
1.06,-9.023551,-6806.075,39.7115,0,0,0,0,0,9.023551,48.07433,6806.075,0,65.53568,-9.023551,20600000
1.16,-9.025345,-6826.975,39.83344,0,0,0,0,0,9.025345,48.08388,6826.975,0,65.55409,-9.025345,20700000
1.26,-9.027258,-6849.654,39.96577,0,0,0,0,0,9.027259,48.09408,6849.654,0,65.57373,-9.027258,20700000
1.36,-9.028872,-6869.217,40.07991,0,0,0,0,0,9.028872,48.10268,6869.217,0,65.5903,-9.028872,20800000
1.46,-9.030427,-6886.821,40.18263,0,0,0,0,0,9.030427,48.11096,6886.821,0,65.60625,-9.030427,20900000
1.56,-9.031862,-6902.166,40.27216,0,0,0,0,0,9.031861,48.1186,6902.167,0,65.62099,-9.031862,20900000
1.66,-9.033715,-6920.604,40.37974,0,0,0,0,0,9.033715,48.12848,6920.604,0,65.64002,-9.033715,20900000
1.76,-9.03533,-6938.291,40.48294,0,0,0,0,0,9.03533,48.13708,6938.292,0,65.65661,-9.03533,21000000
1.86,-9.037063,-6957.443,40.59469,0,0,0,0,0,9.037063,48.14631,6957.443,0,65.67441,-9.037063,21000000
1.96,-9.038798,-6976.915,40.7083,0,0,0,0,0,9.038797,48.15556,6976.915,0,65.69224,-9.038798,21100000
2.06,-9.040411,-6995.13,40.81458,0,0,0,0,0,9.040411,48.16415,6995.13,0,65.70882,-9.040411,21200000
2.16,-9.041787,-7011.05,40.90747,0,0,0,0,0,9.041787,48.17148,7011.05,0,65.72296,-9.041787,21200000
2.26,-9.043581,-7028.456,41.00903,0,0,0,0,0,9.043581,48.18104,7028.456,0,65.74141,-9.043581,21300000
